ref_number,pa_domain_subgroup,line_id,delete,only_stratified_data?,stratified_by,first_author,outcome,overall,outcome_type,sex,sex_subgroups,n_baseline,mean_followup,tot_personyrs,n_months_excluded,total_cases,n_per_category,person_years_per_category,cases_per_category,effect_measure,least_adj_effect,least_adj_lci,least_adj_uci,no_bmi_effect,no_bmi_lci,no_bmi_uci,most_adj_effect,most_adj_lci,most_adj_uci,line_id2,study_section,m_met_h_wk
321,LTPA,6,,No,,Patel,Prostate cancer,1,Both,Men,1,72174,9,546841,0,5503,,27203,297,HR,1.08,0.94,1.24,1.08,0.94,1.24,1.02,0.89,1.18,6,1,25.13
321,LTPA,7,,No,,Patel,Prostate cancer,1,Both,Men,1,72174,9,546841,0,5503,4054,31437,304,HR,0.96,0.84,1.11,0.96,0.84,1.11,0.9,0.78,1.04,7,1,31.06
228,LTPA,1,,No,,Artero et al.,All-cause CVD,1,Fatal,Both,3,11758,12,136839,12,70,4590,53414,31,HR,1,,,,,,1,,,1,1,0
228,LTPA,2,,No,,Artero et al.,All-cause CVD,1,Fatal,Both,3,11758,12,136839,12,70,2078,24182,9,HR,0.61,0.27,1.38,,,,0.61,0.27,1.38,2,1,2.67
228,LTPA,3,,No,,Artero et al.,All-cause CVD,1,Fatal,Both,3,11758,12,136839,12,70,5091,59243,30,HR,0.87,0.5,1.51,,,,0.87,0.5,1.51,3,1,21.81
228,LTPA,4,,No,,Artero et al.,All-cause cancer,1,Fatal,Both,3,11815,12,137443,12,127,4612,53650,51,HR,1,,,,,,1,,,1,2,0
228,LTPA,5,,No,,Artero et al.,All-cause cancer,1,Fatal,Both,3,11815,12,137443,12,127,2088,24288,23,HR,0.99,0.56,1.76,,,,0.99,0.56,1.76,2,2,2.67
228,LTPA,6,,No,,Artero et al.,All-cause cancer,1,Fatal,Both,3,11815,12,137443,12,127,5115,59505,52,HR,0.92,0.59,1.42,,,,0.92,0.59,1.42,3,2,21.81
4,LTPA,1,,Yes,Sex,Lee et al.,All-cause mortality,0,Fatal,Men,1,31818,15,465453,12,1492,12572,203666,779,HR,1,,,1,,,1,,,1,1,0
4,LTPA,2,,Yes,Sex,Lee et al.,All-cause mortality,0,Fatal,Men,1,31818,15,465453,12,1492,5518,83598,279,HR,0.84,0.73,0.96,0.84,0.73,0.96,0.99,0.86,1.14,2,1,2.73
4,LTPA,3,,Yes,Sex,Lee et al.,All-cause mortality,0,Fatal,Men,1,31818,15,465453,12,1492,13728,178189,434,HR,0.73,0.65,0.82,0.73,0.65,0.82,1.05,0.91,1.2,3,1,21.87
4,LTPA,4,,Yes,Sex,Lee et al.,All-cause mortality,0,Fatal,Women,2,10555,13,134813,12,230,3968,60155,129,HR,1,,,1,,,1,,,1,2,0
4,LTPA,5,,Yes,Sex,Lee et al.,All-cause mortality,0,Fatal,Women,2,10555,13,134813,12,230,1970,26457,46,HR,0.85,0.61,1.2,0.85,0.61,1.2,0.98,0.69,1.38,2,2,2.61
4,LTPA,6,,Yes,Sex,Lee et al.,All-cause mortality,0,Fatal,Women,2,10555,13,134813,12,230,4617,48201,55,HR,0.76,0.55,1.05,0.76,0.55,1.05,0.95,0.67,1.35,3,2,21.74
229,LTPA,1,,Yes,Sex,Brown et al.,All-cause mortality,0,Fatal,Women,2,7080,10,70800,24,1656,2172,21720,694,HR,1,,,,,,1,,,1,1,0
229,LTPA,2,,Yes,Sex,Brown et al.,All-cause mortality,0,Fatal,Women,2,7080,10,70800,24,1656,1258,12580,285,HR,0.71,0.62,0.82,,,,0.71,0.62,0.82,2,1,1.4
229,LTPA,3,,Yes,Sex,Brown et al.,All-cause mortality,0,Fatal,Women,2,7080,10,70800,24,1656,539,5390,103,HR,0.6,0.49,0.74,,,,0.6,0.49,0.74,3,1,4.26
229,LTPA,4,,Yes,Sex,Brown et al.,All-cause mortality,0,Fatal,Women,2,7080,10,70800,24,1656,616,6160,116,HR,0.59,0.49,0.72,,,,0.59,0.49,0.72,4,1,6.25
229,LTPA,5,,Yes,Sex,Brown et al.,All-cause mortality,0,Fatal,Women,2,7080,10,70800,24,1656,982,9820,172,HR,0.55,0.47,0.65,,,,0.55,0.47,0.65,5,1,10.32
229,LTPA,6,,Yes,Sex,Brown et al.,All-cause mortality,0,Fatal,Women,2,7080,10,70800,24,1656,670,6700,135,HR,0.63,0.52,0.77,,,,0.63,0.52,0.77,6,1,16.53
229,LTPA,7,,Yes,Sex,Brown et al.,All-cause mortality,0,Fatal,Women,2,7080,10,70800,24,1656,843,8430,151,HR,0.56,0.47,0.67,,,,0.56,0.47,0.67,7,1,22.82
229,LTPA,8,,Yes,Sex,Brown et al.,All-cause mortality,0,Fatal,Men,1,11668,12,140016,24,4214,3008,36096,1247,HR,1,,,,,,1,,,1,2,0
229,LTPA,9,,Yes,Sex,Brown et al.,All-cause mortality,0,Fatal,Men,1,11668,12,140016,24,4214,591,7092,245,HR,1,0.87,1.14,,,,1,0.87,1.14,2,2,1.4
229,LTPA,10,,Yes,Sex,Brown et al.,All-cause mortality,0,Fatal,Men,1,11668,12,140016,24,4214,720,8640,257,HR,0.86,0.75,0.98,,,,0.86,0.75,0.98,3,2,4.26
229,LTPA,11,,Yes,Sex,Brown et al.,All-cause mortality,0,Fatal,Men,1,11668,12,140016,24,4214,834,10008,311,HR,0.9,0.8,1.02,,,,0.9,0.8,1.02,4,2,6.25
229,LTPA,12,,Yes,Sex,Brown et al.,All-cause mortality,0,Fatal,Men,1,11668,12,140016,24,4214,2005,24060,698,HR,0.84,0.77,0.92,,,,0.84,0.77,0.92,5,2,10.32
229,LTPA,13,,Yes,Sex,Brown et al.,All-cause mortality,0,Fatal,Men,1,11668,12,140016,24,4214,1825,21900,620,HR,0.82,0.74,0.9,,,,0.82,0.74,0.9,6,2,16.53
229,LTPA,14,,Yes,Sex,Brown et al.,All-cause mortality,0,Fatal,Men,1,11668,12,140016,24,4214,2685,32220,835,HR,0.75,0.69,0.83,,,,0.75,0.69,0.83,7,2,22.82
230,LTPA,1,,No,,Rosenberg et al.,Breast cancer,1,Both,Women,2,44078,16,596549,0,1330,,313900,773,HR,1,,,1,,,1,,,1,1,1.75
230,LTPA,2,,No,,Rosenberg et al.,Breast cancer,1,Both,Women,2,44078,16,596549,0,1330,,62939,117,HR,0.85,0.7,1.03,0.85,0.7,1.03,0.85,0.7,1.03,2,1,3.5
230,LTPA,3,,No,,Rosenberg et al.,Breast cancer,1,Both,Women,2,44078,16,596549,0,1330,,67081,149,HR,0.99,0.83,1.19,0.99,0.83,1.19,0.99,0.83,1.19,3,1,7
230,LTPA,4,,No,,Rosenberg et al.,Breast cancer,1,Both,Women,2,44078,16,596549,0,1330,,77243,159,HR,0.94,0.79,1.12,0.94,0.79,1.12,0.94,0.79,1.12,4,1,12.25
230,LTPA,5,,No,,Rosenberg et al.,Breast cancer,1,Both,Women,2,44078,16,596549,0,1330,,35793,69,HR,0.89,0.69,1.14,0.89,0.69,1.14,0.89,0.69,1.14,5,1,19.25
230,LTPA,6,,No,,Rosenberg et al.,Breast cancer,1,Both,Women,2,44078,16,596549,0,1330,,39593,63,HR,0.74,0.57,0.96,0.74,0.57,0.96,0.74,0.57,0.96,6,1,26.25
232,LTPA,1,,No,,Mai et al.,Colon cancer,1,Both,Women,2,120147,7,798760,0,395,,77849,79,HR,1,,,1,,,1,,,1,1,0.88
232,LTPA,2,,No,,Mai et al.,Colon cancer,1,Both,Women,2,120147,7,798760,0,395,,381405,188,HR,0.79,0.6,1.03,0.79,0.6,1.03,0.79,0.6,1.03,2,1,7.88
232,LTPA,3,,No,,Mai et al.,Colon cancer,1,Both,Women,2,120147,7,798760,0,395,,339506,128,HR,0.75,0.57,1,0.75,0.57,1,0.75,0.57,1,3,1,20.09
233,LTPA,1,,No,,Dieli-Conwright et al.,Endometrial cancer,1,Both,Women,2,93888,12,1031458,0,976,,90597,134,HR,1,,,,,,1,,,1,1,0.88
233,LTPA,2,,No,,Dieli-Conwright et al.,Endometrial cancer,1,Both,Women,2,93888,12,1031458,0,976,,307874,351,HR,1.03,0.84,1.26,,,,1.03,0.84,1.26,2,1,3.52
233,LTPA,3,,No,,Dieli-Conwright et al.,Endometrial cancer,1,Both,Women,2,93888,12,1031458,0,976,,320794,282,HR,1,0.81,1.23,,,,1,0.81,1.23,3,1,7.88
233,LTPA,4,,No,,Dieli-Conwright et al.,Endometrial cancer,1,Both,Women,2,93888,12,1031458,0,976,,312193,209,HR,0.85,0.68,1.06,,,,0.85,0.68,1.06,4,1,13.09
237,LTPA,1,,No,,Hildebrand et al.,Breast cancer,1,Both,Women,2,73615,14,916906,0,4760,,77316,370,HR,1,,,1,,,1,,,1,1,0
237,LTPA,2,,No,,Hildebrand et al.,Breast cancer,1,Both,Women,2,73615,14,916906,0,4760,,317697,1706,HR,1.1,0.98,1.23,1.1,0.98,1.23,1.1,0.98,1.23,2,1,2.14
237,LTPA,3,,No,,Hildebrand et al.,Breast cancer,1,Both,Women,2,73615,14,916906,0,4760,,274564,1428,HR,1.07,0.95,1.2,1.07,0.95,1.2,1.07,0.95,1.2,3,1,9.09
237,LTPA,4,,No,,Hildebrand et al.,Breast cancer,1,Both,Women,2,73615,14,916906,0,4760,,164808,875,HR,1.09,0.96,1.23,1.09,0.96,1.23,1.09,0.96,1.23,4,1,19.24
237,LTPA,5,,No,,Hildebrand et al.,Breast cancer,1,Both,Women,2,73615,14,916906,0,4760,,46955,238,HR,1.03,0.87,1.22,1.03,0.87,1.22,1.03,0.87,1.22,5,1,29.58
237,LTPA,6,,No,,Hildebrand et al.,Breast cancer,1,Both,Women,2,73615,14,916906,0,4760,,35566,143,HR,0.82,0.68,1,0.82,0.68,1,0.82,0.68,1,6,1,38.51
238,LTPA,1,,No,,Chao et al.,Colon cancer,0,Both,Men,1,70403,6,422418,0,536,,46880,79,HR,1,,,1,,,1,,,1,1,0
238,LTPA,2,,No,,Chao et al.,Colon cancer,0,Both,Men,1,70403,6,422418,0,536,,118684,164,HR,0.82,0.63,1.07,0.82,0.63,1.07,0.9,0.68,1.18,2,1,2.14
238,LTPA,3,,No,,Chao et al.,Colon cancer,0,Both,Men,1,70403,6,422418,0,536,,59342,72,HR,0.72,0.52,1,0.72,0.52,1,0.83,0.59,1.16,3,1,7.26
238,LTPA,4,,No,,Chao et al.,Colon cancer,0,Both,Men,1,70403,6,422418,0,536,,109827,124,HR,0.67,0.5,0.9,0.67,0.5,0.9,0.75,0.55,1.01,4,1,14.24
238,LTPA,5,,No,,Chao et al.,Colon cancer,0,Both,Men,1,70403,6,422418,0,536,,44319,59,HR,0.79,0.58,1.09,0.79,0.58,1.09,0.86,0.63,1.19,5,1,20.92
238,LTPA,6,,No,,Chao et al.,Colon cancer,0,Both,Men,1,70403,6,422418,0,536,,43365,38,HR,0.52,0.36,0.74,0.52,0.36,0.74,0.6,0.41,0.87,6,1,25.98
238,LTPA,7,,No,,Chao et al.,Colon cancer,0,Both,Women,2,80771,6,484626,0,404,,43487,39,HR,1,,,1,,,1,,,1,2,0
238,LTPA,8,,No,,Chao et al.,Colon cancer,0,Both,Women,2,80771,6,484626,0,404,,154743,136,HR,0.98,0.69,1.4,0.98,0.69,1.4,1.02,0.71,1.46,2,2,2.14
238,LTPA,9,,No,,Chao et al.,Colon cancer,0,Both,Women,2,80771,6,484626,0,404,,98027,80,HR,0.91,0.61,1.36,0.91,0.61,1.36,0.98,0.65,1.47,3,2,7.26
238,LTPA,10,,No,,Chao et al.,Colon cancer,0,Both,Women,2,80771,6,484626,0,404,,109133,92,HR,0.94,0.65,1.37,0.94,0.65,1.37,1,0.68,1.47,4,2,14.24
238,LTPA,11,,No,,Chao et al.,Colon cancer,0,Both,Women,2,80771,6,484626,0,404,,42598,34,HR,0.89,0.57,1.4,0.89,0.57,1.4,0.94,0.6,1.48,5,2,20.92
238,LTPA,12,,No,,Chao et al.,Colon cancer,0,Both,Women,2,80771,6,484626,0,404,,36638,23,HR,0.7,0.44,1.12,0.7,0.44,1.12,0.77,0.48,1.24,6,2,25.98
238,LTPA,13,,No,,Chao et al.,Colon cancer,1,Both,Both,3,151174,6,907044,0,940,,90367,118,HR,1,,,,,,1,,,1,3,0
238,LTPA,14,,No,,Chao et al.,Colon cancer,1,Both,Both,3,151174,6,907044,0,940,,273427,300,HR,0.93,0.75,1.16,,,,0.93,0.75,1.16,2,3,2.14
238,LTPA,15,,No,,Chao et al.,Colon cancer,1,Both,Both,3,151174,6,907044,0,940,,157369,152,HR,0.88,0.68,1.13,,,,0.88,0.68,1.13,3,3,7.26
238,LTPA,16,,No,,Chao et al.,Colon cancer,1,Both,Both,3,151174,6,907044,0,940,,218960,216,HR,0.84,0.66,1.06,,,,0.84,0.66,1.06,4,3,14.24
238,LTPA,17,,No,,Chao et al.,Colon cancer,1,Both,Both,3,151174,6,907044,0,940,,86917,93,HR,0.89,0.68,1.15,,,,0.89,0.68,1.15,5,3,20.92
238,LTPA,18,,No,,Chao et al.,Colon cancer,1,Both,Both,3,151174,6,907044,0,940,,80003,93,HR,0.65,0.49,0.87,,,,0.65,0.49,0.87,6,3,25.98
239,LTPA,1,,Yes,Sex,Patel et al.,All-cause mortality,0,Fatal,Men,1,53440,14,549438,12,11037,,63336,1186,HR,1,,,,,,1,,,1,1,6.25
239,LTPA,2,,Yes,Sex,Patel et al.,All-cause mortality,0,Fatal,Men,1,53440,14,549438,12,11037,,59365,991,HR,0.89,0.82,0.97,,,,0.9,0.82,0.97,2,1,16.32
239,LTPA,3,,Yes,Sex,Patel et al.,All-cause mortality,0,Fatal,Men,1,53440,14,549438,12,11037,,86898,1397,HR,0.84,0.78,0.91,,,,0.85,0.78,0.92,3,1,22.18
239,LTPA,4,,Yes,Sex,Patel et al.,All-cause mortality,0,Fatal,Men,1,53440,14,549438,12,11037,,133341,2284,HR,0.88,0.82,0.94,,,,0.88,0.82,0.95,4,1,29.58
239,LTPA,5,,Yes,Sex,Patel et al.,All-cause mortality,0,Fatal,Men,1,53440,14,549438,12,11037,,115894,1857,HR,0.81,0.75,0.87,,,,0.81,0.75,0.87,5,1,38.51
239,LTPA,6,,Yes,Sex,Patel et al.,All-cause mortality,0,Fatal,Men,1,53440,14,549438,12,11037,,88468,1453,HR,0.79,0.73,0.85,,,,0.79,0.74,0.86,6,1,47.48
239,LTPA,7,,Yes,Sex,Patel et al.,All-cause mortality,0,Fatal,Men,1,53440,14,549438,12,11037,,2136,2139,HR,0.79,0.74,0.85,,,,0.8,0.74,0.86,7,1,56.49
239,LTPA,8,,Yes,Sex,Patel et al.,All-cause mortality,0,Fatal,Women,2,69776,14,925686,12,7923,,107418,1157,HR,1,,,,,,1,,,1,2,6.25
239,LTPA,9,,Yes,Sex,Patel et al.,All-cause mortality,0,Fatal,Women,2,69776,14,925686,12,7923,,63751,699,HR,0.98,0.89,1.07,,,,0.98,0.89,1.07,2,2,16.32
239,LTPA,10,,Yes,Sex,Patel et al.,All-cause mortality,0,Fatal,Women,2,69776,14,925686,12,7923,,159718,1382,HR,0.81,0.75,0.88,,,,0.82,0.75,0.88,3,2,22.18
239,LTPA,11,,Yes,Sex,Patel et al.,All-cause mortality,0,Fatal,Women,2,69776,14,925686,12,7923,,195423,1588,HR,0.78,0.72,0.84,,,,0.78,0.73,0.85,4,2,29.58
239,LTPA,12,,Yes,Sex,Patel et al.,All-cause mortality,0,Fatal,Women,2,69776,14,925686,12,7923,,157978,1255,HR,0.76,0.7,0.82,,,,0.76,0.7,0.83,5,2,38.51
239,LTPA,13,,Yes,Sex,Patel et al.,All-cause mortality,0,Fatal,Women,2,69776,14,925686,12,7923,,99477,772,HR,0.75,0.68,0.82,,,,0.76,0.69,0.83,6,2,47.48
239,LTPA,14,,Yes,Sex,Patel et al.,All-cause mortality,0,Fatal,Women,2,69776,14,925686,12,7923,,141921,1070,HR,0.73,0.67,0.8,,,,0.74,0.68,0.81,7,2,56.49
239,LTPA,15,,Yes,Sex,Patel et al.,All-cause CVD,0,Fatal,Women,2,69776,14,925686,12,2360,,107418,370,HR,1,,,,,,1,,,1,3,6.25
239,LTPA,16,,Yes,Sex,Patel et al.,All-cause CVD,0,Fatal,Women,2,69776,14,925686,12,2360,,63751,224,HR,0.98,0.83,1.15,,,,0.98,0.83,1.15,2,3,16.32
239,LTPA,17,,Yes,Sex,Patel et al.,All-cause CVD,0,Fatal,Women,2,69776,14,925686,12,2360,,159718,400,HR,0.74,0.64,0.86,,,,0.74,0.64,0.86,3,3,22.18
239,LTPA,18,,Yes,Sex,Patel et al.,All-cause CVD,0,Fatal,Women,2,69776,14,925686,12,2360,,195423,484,HR,0.76,0.67,0.87,,,,0.76,0.67,0.87,4,3,29.58
239,LTPA,19,,Yes,Sex,Patel et al.,All-cause CVD,0,Fatal,Women,2,69776,14,925686,12,2360,,157978,369,HR,0.72,0.62,0.84,,,,0.72,0.62,0.84,5,3,38.51
239,LTPA,20,,Yes,Sex,Patel et al.,All-cause CVD,0,Fatal,Women,2,69776,14,925686,12,2360,,99477,224,HR,0.71,0.6,0.84,,,,0.71,0.6,0.84,6,3,47.48
239,LTPA,21,,Yes,Sex,Patel et al.,All-cause CVD,0,Fatal,Women,2,69776,14,925686,12,2360,,141921,289,HR,0.66,0.56,0.77,,,,0.66,0.56,0.77,7,3,56.49
239,LTPA,22,,Yes,Sex,Patel et al.,All-cause cancer,0,Fatal,Women,2,69776,14,925686,12,3108,,107418,413,HR,1,,,,,,1,,,1,4,6.25
239,LTPA,23,,Yes,Sex,Patel et al.,All-cause cancer,0,Fatal,Women,2,69776,14,925686,12,3108,,63751,260,HR,1.02,0.88,1.2,,,,1.02,0.88,1.2,2,4,16.32
239,LTPA,24,,Yes,Sex,Patel et al.,All-cause cancer,0,Fatal,Women,2,69776,14,925686,12,3108,,159718,536,HR,0.88,0.78,1,,,,0.88,0.78,1,3,4,22.18
239,LTPA,25,,Yes,Sex,Patel et al.,All-cause cancer,0,Fatal,Women,2,69776,14,925686,12,3108,,195423,608,HR,0.82,0.73,0.94,,,,0.82,0.73,0.94,4,4,29.58
239,LTPA,26,,Yes,Sex,Patel et al.,All-cause cancer,0,Fatal,Women,2,69776,14,925686,12,3108,,157978,499,HR,0.83,0.73,0.95,,,,0.83,0.73,0.95,5,4,38.51
239,LTPA,27,,Yes,Sex,Patel et al.,All-cause cancer,0,Fatal,Women,2,69776,14,925686,12,3108,,99477,328,HR,0.87,0.75,1.01,,,,0.87,0.75,1.01,6,4,47.48
239,LTPA,28,,Yes,Sex,Patel et al.,All-cause cancer,0,Fatal,Women,2,69776,14,925686,12,3108,,141921,464,HR,0.86,0.75,0.99,,,,0.86,0.75,0.99,7,4,56.49
239,LTPA,29,,Yes,Sex,Patel et al.,All-cause CVD,0,Fatal,Men,1,53440,14,549438,12,4009,,63336,435,HR,1,,,,,,1,,,1,5,6.25
239,LTPA,30,,Yes,Sex,Patel et al.,All-cause CVD,0,Fatal,Men,1,53440,14,549438,12,4009,,59365,353,HR,0.87,0.75,1,,,,0.87,0.75,1,2,5,16.32
239,LTPA,31,,Yes,Sex,Patel et al.,All-cause CVD,0,Fatal,Men,1,53440,14,549438,12,4009,,86898,496,HR,0.81,0.71,0.92,,,,0.81,0.71,0.92,3,5,22.18
239,LTPA,32,,Yes,Sex,Patel et al.,All-cause CVD,0,Fatal,Men,1,53440,14,549438,12,4009,,133341,818,HR,0.86,0.77,0.97,,,,0.86,0.77,0.97,4,5,29.58
239,LTPA,33,,Yes,Sex,Patel et al.,All-cause CVD,0,Fatal,Men,1,53440,14,549438,12,4009,,115894,638,HR,0.76,0.68,0.86,,,,0.76,0.68,0.86,5,5,38.51
239,LTPA,34,,Yes,Sex,Patel et al.,All-cause CVD,0,Fatal,Men,1,53440,14,549438,12,4009,,88468,516,HR,0.78,0.68,0.88,,,,0.78,0.68,0.88,6,5,47.48
239,LTPA,35,,Yes,Sex,Patel et al.,All-cause CVD,0,Fatal,Men,1,53440,14,549438,12,4009,,2136,753,HR,0.77,0.68,0.87,,,,0.77,0.68,0.87,7,5,56.49
239,LTPA,36,,Yes,Sex,Patel et al.,All-cause cancer,0,Fatal,Men,1,53440,14,549438,12,3881,,63336,379,HR,1,,,,,,1,,,1,6,6.25
239,LTPA,37,,Yes,Sex,Patel et al.,All-cause cancer,0,Fatal,Men,1,53440,14,549438,12,3881,,59365,314,HR,0.91,0.78,1.06,,,,0.91,0.78,1.06,2,6,16.32
239,LTPA,38,,Yes,Sex,Patel et al.,All-cause cancer,0,Fatal,Men,1,53440,14,549438,12,3881,,86898,488,HR,0.96,0.84,1.1,,,,0.96,0.84,1.1,3,6,22.18
239,LTPA,39,,Yes,Sex,Patel et al.,All-cause cancer,0,Fatal,Men,1,53440,14,549438,12,3881,,133341,781,HR,0.98,0.87,1.11,,,,0.98,0.87,1.11,4,6,29.58
239,LTPA,40,,Yes,Sex,Patel et al.,All-cause cancer,0,Fatal,Men,1,53440,14,549438,12,3881,,115894,636,HR,0.91,0.8,1.03,,,,0.91,0.8,1.03,5,6,38.51
239,LTPA,41,,Yes,Sex,Patel et al.,All-cause cancer,0,Fatal,Men,1,53440,14,549438,12,3881,,88468,511,HR,0.92,0.81,1.05,,,,0.92,0.81,1.05,6,6,47.48
239,LTPA,42,,Yes,Sex,Patel et al.,All-cause cancer,0,Fatal,Men,1,53440,14,549438,12,3881,,2136,772,HR,0.95,0.84,1.07,,,,0.95,0.84,1.07,7,6,56.49
240,LTPA,1,,No,,Patel et al.,Endometrial cancer,1,Both,Women,2,42672,,395197,0,466,,34622,43,HR,1,,,1,,,1,,,1,1,0
240,LTPA,2,,No,,Patel et al.,Endometrial cancer,1,Both,Women,2,42672,,395197,0,466,,124302,170,HR,1.09,0.78,1.51,1.08,0.77,1.5,1.19,0.85,1.66,2,1,2.14
240,LTPA,3,,No,,Patel et al.,Endometrial cancer,1,Both,Women,2,42672,,395197,0,466,,133553,157,HR,0.93,0.64,1.36,0.92,0.64,1.34,1.1,0.79,1.53,3,1,9.09
240,LTPA,4,,No,,Patel et al.,Endometrial cancer,1,Both,Women,2,42672,,395197,0,466,,75456,72,HR,0.76,0.5,1.15,0.75,0.5,1.14,0.95,0.65,1.39,4,1,19.24
240,LTPA,5,,No,,Patel et al.,Endometrial cancer,1,Both,Women,2,42672,,395197,0,466,,27264,24,HR,0.71,0.42,1.2,0.72,0.43,1.22,0.94,0.57,1.54,5,1,31.06
13,LTPA,1,,No,,Autenrieth et al.,Stroke,0,Both,Men,1,5625,19,94846,0,348,,45981,213,HR,1,,,1,,,1,,,1,1,0
13,LTPA,2,,No,,Autenrieth et al.,Stroke,0,Both,Men,1,5625,19,94846,0,348,,26127,77,HR,0.73,0.56,0.96,0.76,0.58,0.99,0.8,0.61,1.05,2,1,4.38
13,LTPA,3,,No,,Autenrieth et al.,Stroke,0,Both,Men,1,5625,19,94846,0,348,,22739,58,HR,0.64,0.48,0.87,0.68,0.5,0.91,0.76,0.56,1.02,3,1,13.13
13,LTPA,4,,No,,Autenrieth et al.,Stroke,0,Both,Women,2,7444,19,130724,0,392,,81283,283,HR,1,,,1,,,1,,,1,2,0
13,LTPA,5,,No,,Autenrieth et al.,Stroke,0,Both,Women,2,7444,19,130724,0,392,,31477,70,HR,0.83,0.64,1.09,0.83,0.64,1.09,0.98,0.75,1.29,2,2,4.38
13,LTPA,6,,No,,Autenrieth et al.,Stroke,0,Both,Women,2,7444,19,130724,0,392,,17964,39,HR,0.8,357,1.13,0.8,0.57,1.13,0.94,0.67,1.33,3,2,13.13
13,LTPA,7,,No,,Autenrieth et al.,Stroke,1,Both,Both,3,13069,19,225570,0,740,,127264,496,HR,1,,,1,,,1,,,1,3,0
13,LTPA,8,,No,,Autenrieth et al.,Stroke,1,Both,Both,3,13069,19,225570,0,740,,57604,147,HR,0.78,0.65,0.95,0.83,0.68,1,0.93,0.76,1.14,2,3,4.38
13,LTPA,9,,No,,Autenrieth et al.,Stroke,1,Both,Both,3,13069,19,225570,0,740,,40703,97,HR,0.72,0.57,0.9,0.78,0.62,0.97,0.84,0.65,1.07,3,3,13.13
6,LTPA,1,,No,,Sieverdes et al.,Stroke,1,Fatal,Men,1,45689,,782669,0,175,16862,325605,87,HR,1,,,1,,,1,,,1,1,0.33
6,LTPA,2,,No,,Sieverdes et al.,Stroke,1,Fatal,Men,1,45689,,782669,0,175,19780,344253,68,HR,1.06,0.75,1.49,1.38,0.92,2.07,1.38,0.92,2.07,2,1,15.53
6,LTPA,3,,No,,Sieverdes et al.,Stroke,1,Fatal,Men,1,45689,,782669,0,175,9047,112811,20,HR,0.84,0.5,1.4,0.92,0.53,1.58,0.92,0.53,1.58,3,1,4.99
6,LTPA,7,,No,,Sieverdes et al.,Stroke,1,Both,Men,1,45689,,800225,0,619,16862,330188,275,HR,1,,,1,,,1,,,1,3,0.33
6,LTPA,8,,No,,Sieverdes et al.,Stroke,1,Both,Men,1,45689,,800225,0,619,19780,332152,264,HR,0.89,0.74,1.06,1.09,0.89,1.35,1.09,0.89,1.35,2,3,15.53
6,LTPA,9,,No,,Sieverdes et al.,Stroke,1,Both,Men,1,45689,,800225,0,619,9047,137885,80,HR,0.74,0.57,0.95,0.8,0.6,1.05,0.8,0.6,1.05,3,3,4.99
2,LTPA,10,,No,,Fraser G.,Coronary heart disease,1,Fatal,Both,3,27658,6,139654,0,244,11315,57135,129,RR,1,,,,,,1,,,1,4,0
2,LTPA,11,,No,,Fraser G.,Coronary heart disease,1,Fatal,Both,3,27658,6,139654,0,244,5265,26584,47,RR,0.65,0.45,0.92,,,,0.65,0.45,0.92,2,4,7.88
2,LTPA,12,,No,,Fraser G.,Coronary heart disease,1,Fatal,Both,3,27658,6,139654,0,244,11078,55935,68,RR,0.49,0.36,0.67,,,,0.49,0.36,0.67,3,4,15.75
2,LTPA,13,,No,,Fraser G.,Coronary heart disease,0,Fatal,Men,1,10376,6,53627,0,105,3291,17007,37,RR,1,,,,,,1,,,1,5,0
2,LTPA,14,,No,,Fraser G.,Coronary heart disease,0,Fatal,Men,1,10376,6,53627,0,105,2312,11951,26,RR,0.7,0.42,1.18,,,,0.7,0.42,1.18,2,5,7.88
2,LTPA,15,,No,,Fraser G.,Coronary heart disease,0,Fatal,Men,1,10376,6,53627,0,105,4773,24669,42,RR,0.61,0.39,0.96,,,,0.61,0.39,0.96,3,5,15.75
2,LTPA,16,,No,,Fraser G.,Coronary heart disease,0,Fatal,Women,2,17282,6,85987,0,139,8065,40128,92,RR,1,,,,,,1,,,1,6,0
2,LTPA,17,,No,,Fraser G.,Coronary heart disease,0,Fatal,Women,2,17282,6,85987,0,139,2941,14633,21,RR,0.61,0.37,0.98,,,,0.61,0.37,0.98,2,6,7.88
2,LTPA,18,,No,,Fraser G.,Coronary heart disease,0,Fatal,Women,2,17282,6,85987,0,139,6276,31226,26,RR,0.41,0.26,0.64,,,,0.41,0.26,0.64,3,6,15.75
18,LTPA,1,,No,,Calton BA.,Colon cancer,1,Both,Women,2,31783,,270325,0,243,6313,52666,44,HR,1,,,1,,,1,,,1,2,0
18,LTPA,2,,No,,Calton BA.,Colon cancer,1,Both,Women,2,31783,,270325,0,243,6318,53628,58,HR,1.33,0.9,1.97,1.33,0.9,1.97,1.45,0.98,2.15,2,2,80.85
18,LTPA,3,,No,,Calton BA.,Colon cancer,1,Both,Women,2,31783,,270325,0,243,6394,54645,47,HR,1.04,0.69,1.58,1.04,0.69,1.58,1.16,0.77,1.75,3,2,144.55
18,LTPA,4,,No,,Calton BA.,Colon cancer,1,Both,Women,2,31783,,270325,0,243,6482,55556,49,HR,1.11,0.74,1.67,1.11,0.74,1.67,1.27,0.84,1.91,4,2,208.25
