ref_number,Checked,PubmedID,Weblink,Study,Author,Year,location,study_design,pop_source,sampl_method,n_baseline,overall,prop_male,sex_subgroups,mean_age_base,sd_age_base,lci_age_base,uci_age_base,pa_domain_subgroup,mean_followup,sd_followup,tot_personyrs,outcome,outcome_type,outcome_def,outcome_tool,pa_tool,pa_unit,pa_cat_def,other_pa_domains,tot_cases,effect_measure,"adjustments (Age, Sex)","adjustments1 (BMI, diet etc)","adjustments2 (BMI, diet etc)",pa_cat,cases,personyrs,totalpersons,effect,lci_effect,uci_effect,effect1_adj1,lci_effect1_adj1,uci_effect1_adj1,effect2_adj2,lci_effect2_adj2,uci_effect2_adj2,obs,Other References required for dose derivation/harmonisation,Frequency,Session length,Duration (hrs/wk),Intensity (METS),Final Harmonised exposure (MMET-hrs/wk),Notes on exposure harmonisation,Final Harmonised exposure (MMET-hrs/wk)  FOR SENSITIVITY ANALYSIS,SEPARATOR COLUMN,Domain,Frequency,Duration,Intensity,Volume,Mean MET.hr/wk ,Median MET.hr/wk,MMET.hr/wk,Median MMET.hr/wk,Source,Status from Eoin,,Frequency,Session length,Duration (hrs/wk),Intensity (METS),Mean Activity (MET.hr/wk) ,Median Activity (MET.hr/wk),Mean Activity (MMET.hr/wk) ,Median Activity (MMET.hr/wk),Final Harmonised exposure (MMET-hrs/wk),,Intensity Assumed?,Duration Assumed?,Midpoint  Intensity?,Midpoint  Duration?,,,Alternative Intensity - MVPA = 3.5,MET.hr/wk,MMET.hr/wk,,MET.hr/wk,MMET.hr/wk,,1_MET.hr,2_MET.hr,3_MET.hr,4_MET.hr,5_MET.hr,6_MET.hr,7_MET.hr,8_MET.hr,9_MET.hr,1_MMET.hr,2_MMET.hr,3_MMET.hr,4_MMET.hr,5_MMET.hr,6_MMET.hr,7_MMET.hr,8_MMET.hr,9_MMET.hr,,objective_calibration
35,P,,,CPS II Nutrition Cohort,Patel et al.,2010,US,Prospective cohort,"Men and women in this analysis were drawn from the
184,190 participants in the CPS-II Nutrition Cohort (hereafter
referred to as the ‘‘Nutrition Cohort’’)","We excluded sequentially from this analysis men and
women who reported a personal history of cancer (n =
21,785), heart attack (n = 11,560), stroke (n = 2,513), or
emphysema/other lung disease (n = 9,321) at the time of
enrollment. We also excluded individuals with missing data
on physical activity (n = 4,240), missing sitting time (n =
2,954), missing or extreme (top and bottom 0.1%) values of
body mass index (n = 2,121), or missing smoking status (n =
1,347) at baseline. Finally, to reduce the possibility of undiagnosed
serious illness at baseline that would preclude or
interfere with physical activity, we excluded individuals who
reported both no daily life activities and no light housekeeping
(n = 4,730), as well as those who died from any cause
within the first year of follow-up (n = 403).",53440 ,0,1,1,,,,,LTPA,13.1,,685042,all-cause mortality,mortality,"The primary endpoint was death from any cause occurring
between 1 year after the time of enrollment and December
31, 2006. Deaths were identified through biennial
automated linkage of the entire cohort with the National
Death Index",,Questionnaire,MET-hr/wk,"we combined recreational and daily life activity
into total leisure-time physical activity at baseline, because
the relation between regular physical activity and all-cause
mortality has been well documented. Total leisure-time
activity was categorized in MET-hours/week as <17.5,
17.5–<24.5, 24.5–<31.5, 31.5–<42.0, 42.0–<52.5,
52.5–<63.0, or  63.0. The lowest cutpoint corresponds
with approximately the 10th percentile of activity level in
our population, and each subsequent category increases by
the metabolic equivalent of approximately 3 hours of lightintensity
daily life activities per week",None,11307,rr,"Adjusted for age, race, smoking status, body mass Index, marital status, education, alcohol consumption, total caloric intake, comorbidity score, dietary intake (fruit, vegetable, fat, red meat occupational status), smoking duration, frequency & years since quitting",,,31.5-<42.0,1857,115894.0,9041,0.81,0.75,0.87,,,,,,,,,,,,,37.42,Used midpoint of paper reported volume. Marginalised by ratio weighting of (3.5/4.5) METs,37.42,,,,,,42.0-<52.5 MET-hr/wk,47.25,,36.75,,,,,,,,,,,,,,,,,,,,,3.50,0.00,0.00,,36.75,26.25,,,,,,,,,,,,,,,,,,,,,
35,P,,,CPS II Nutrition Cohort,Patel et al.,2010,US,Prospective cohort,"Men and women in this analysis were drawn from the
184,190 participants in the CPS-II Nutrition Cohort (hereafter
referred to as the ‘‘Nutrition Cohort’’)","We excluded sequentially from this analysis men and
women who reported a personal history of cancer (n =
21,785), heart attack (n = 11,560), stroke (n = 2,513), or
emphysema/other lung disease (n = 9,321) at the time of
enrollment. We also excluded individuals with missing data
on physical activity (n = 4,240), missing sitting time (n =
2,954), missing or extreme (top and bottom 0.1%) values of
body mass index (n = 2,121), or missing smoking status (n =
1,347) at baseline. Finally, to reduce the possibility of undiagnosed
serious illness at baseline that would preclude or
interfere with physical activity, we excluded individuals who
reported both no daily life activities and no light housekeeping
(n = 4,730), as well as those who died from any cause
within the first year of follow-up (n = 403).",53440 ,0,1,1,,,,,LTPA,13.1,,685042,all-cause mortality,mortality,"The primary endpoint was death from any cause occurring
between 1 year after the time of enrollment and December
31, 2006. Deaths were identified through biennial
automated linkage of the entire cohort with the National
Death Index",,Questionnaire,MET-hr/wk,"we combined recreational and daily life activity
into total leisure-time physical activity at baseline, because
the relation between regular physical activity and all-cause
mortality has been well documented. Total leisure-time
activity was categorized in MET-hours/week as <17.5,
17.5–<24.5, 24.5–<31.5, 31.5–<42.0, 42.0–<52.5,
52.5–<63.0, or  63.0. The lowest cutpoint corresponds
with approximately the 10th percentile of activity level in
our population, and each subsequent category increases by
the metabolic equivalent of approximately 3 hours of lightintensity
daily life activities per week",None,11307,rr,"Adjusted for age, race, smoking status, body mass Index, marital status, education, alcohol consumption, total caloric intake, comorbidity score, dietary intake (fruit, vegetable, fat, red meat occupational status), smoking duration, frequency & years since quitting",,,42.0-<52.5,1453,88468.0,6901,0.79,0.74,0.86,,,,,,,,,,,,,46.40,Used midpoint of paper reported volume. Marginalised by ratio weighting of (3.5/4.5) METs,46.40,,,,,,52.5-<63.0 MET-hr/wk,57.75,,44.92,,,,,,,,,,,,,,,,,,,,,3.50,0.00,0.00,,44.92,32.08,,,,,,,,,,,,,,,,,,,,,
35,P,,,CPS II Nutrition Cohort,Patel et al.,2010,US,Prospective cohort,"Men and women in this analysis were drawn from the
184,190 participants in the CPS-II Nutrition Cohort (hereafter
referred to as the ‘‘Nutrition Cohort’’)","We excluded sequentially from this analysis men and
women who reported a personal history of cancer (n =
21,785), heart attack (n = 11,560), stroke (n = 2,513), or
emphysema/other lung disease (n = 9,321) at the time of
enrollment. We also excluded individuals with missing data
on physical activity (n = 4,240), missing sitting time (n =
2,954), missing or extreme (top and bottom 0.1%) values of
body mass index (n = 2,121), or missing smoking status (n =
1,347) at baseline. Finally, to reduce the possibility of undiagnosed
serious illness at baseline that would preclude or
interfere with physical activity, we excluded individuals who
reported both no daily life activities and no light housekeeping
(n = 4,730), as well as those who died from any cause
within the first year of follow-up (n = 403).",53440 ,0,1,1,,,,,LTPA,13.1,,685042,all-cause mortality,mortality,"The primary endpoint was death from any cause occurring
between 1 year after the time of enrollment and December
31, 2006. Deaths were identified through biennial
automated linkage of the entire cohort with the National
Death Index",,Questionnaire,MET-hr/wk,"we combined recreational and daily life activity
into total leisure-time physical activity at baseline, because
the relation between regular physical activity and all-cause
mortality has been well documented. Total leisure-time
activity was categorized in MET-hours/week as <17.5,
17.5–<24.5, 24.5–<31.5, 31.5–<42.0, 42.0–<52.5,
52.5–<63.0, or  63.0. The lowest cutpoint corresponds
with approximately the 10th percentile of activity level in
our population, and each subsequent category increases by
the metabolic equivalent of approximately 3 hours of lightintensity
daily life activities per week",None,11307,rr,"Adjusted for age, race, smoking status, body mass Index, marital status, education, alcohol consumption, total caloric intake, comorbidity score, dietary intake (fruit, vegetable, fat, red meat occupational status), smoking duration, frequency & years since quitting",,,52.5-<63.0,2139,137740.0,10745,0.8,0.74,0.86,,,,,,,,,,,,,55.63,Used midpoint of paper reported volume. Marginalised by ratio weighting of (3.5/4.5) METs,55.63,,,,,,?63.0 MET-hr/wk,68.25,,53.08,,,,,,,,,,,,,,,,,,,,,3.50,0.00,0.00,,53.08,37.92,,,,,,,,,,,,,,,,,,,,,
35,P,,,CPS II Nutrition Cohort,Patel et al.,2010,US,Prospective cohort,"Men and women in this analysis were drawn from the
184,190 participants in the CPS-II Nutrition Cohort (hereafter
referred to as the ‘‘Nutrition Cohort’’)","We excluded sequentially from this analysis men and
women who reported a personal history of cancer (n =
21,785), heart attack (n = 11,560), stroke (n = 2,513), or
emphysema/other lung disease (n = 9,321) at the time of
enrollment. We also excluded individuals with missing data
on physical activity (n = 4,240), missing sitting time (n =
2,954), missing or extreme (top and bottom 0.1%) values of
body mass index (n = 2,121), or missing smoking status (n =
1,347) at baseline. Finally, to reduce the possibility of undiagnosed
serious illness at baseline that would preclude or
interfere with physical activity, we excluded individuals who
reported both no daily life activities and no light housekeeping
(n = 4,730), as well as those who died from any cause
within the first year of follow-up (n = 403).",69776 ,0,0,2,,,,,LTPA,13.1,,925686,all-cause mortality,mortality,"The primary endpoint was death from any cause occurring
between 1 year after the time of enrollment and December
31, 2006. Deaths were identified through biennial
automated linkage of the entire cohort with the National
Death Index",,Questionnaire,MET-hr/wk,"we combined recreational and daily life activity
into total leisure-time physical activity at baseline, because
the relation between regular physical activity and all-cause
mortality has been well documented. Total leisure-time
activity was categorized in MET-hours/week as <17.5,
17.5–<24.5, 24.5–<31.5, 31.5–<42.0, 42.0–<52.5,
52.5–<63.0, or  63.0. The lowest cutpoint corresponds
with approximately the 10th percentile of activity level in
our population, and each subsequent category increases by
the metabolic equivalent of approximately 3 hours of lightintensity
daily life activities per week",None,7923,rr,"Adjusted for age, race, smoking status, body mass Index, marital status, education, alcohol consumption, total caloric intake, comorbidity score, dietary intake (fruit, vegetable, fat, red meat occupational status), smoking duration, frequency & years since quitting",,,"we combined recreational and daily life activity
into total leisure-time physical activity at baseline because
the relation between regular physical activity and all-cause
mortality has been well documented. Total leisure-time
activity was categorized in MET-hours/week as <17.5
17.5–<24.5 24.5–<31.5 31.5–<42.0 42.0–<52.5
52.5–<63.0 or  63.0. The lowest cutpoint corresponds
with approximately the 10th percentile of activity level in
our population and each subsequent category increases by
the metabolic equivalent of approximately 3 hours of lightintensity
daily life activities per week",1157,107418.0,8097,1,,,,,,,,,,,,,,,6.56,Used midpoint of paper reported volume. Marginalised by ratio weighting of (3.5/4.5) METs,6.56,,LTPA,,,,<17.5 MET-hr/wk,8.75,,6.81,,Seyi,"Contacted by SO - no response, data required for calculation  /   MMET calculation by EM: (MET.hr/wk / 4.5) * 3.5 assuming  MVPA = 4.5",,,,,,,,,,,,,,,,,,3.50,0.00,0.00,,6.81,4.86,,6.81,16.33,21.78,27.81,36.75,44.92,53.08,,,4.86,11.67,15.56,19.86,26.25,32.08,37.92,,,,
35,P,,,CPS II Nutrition Cohort,Patel et al.,2010,US,Prospective cohort,"Men and women in this analysis were drawn from the
184,190 participants in the CPS-II Nutrition Cohort (hereafter
referred to as the ‘‘Nutrition Cohort’’)","We excluded sequentially from this analysis men and
women who reported a personal history of cancer (n =
21,785), heart attack (n = 11,560), stroke (n = 2,513), or
emphysema/other lung disease (n = 9,321) at the time of
enrollment. We also excluded individuals with missing data
on physical activity (n = 4,240), missing sitting time (n =
2,954), missing or extreme (top and bottom 0.1%) values of
body mass index (n = 2,121), or missing smoking status (n =
1,347) at baseline. Finally, to reduce the possibility of undiagnosed
serious illness at baseline that would preclude or
interfere with physical activity, we excluded individuals who
reported both no daily life activities and no light housekeeping
(n = 4,730), as well as those who died from any cause
within the first year of follow-up (n = 403).",69776 ,0,0,2,,,,,LTPA,13.1,,925686,all-cause mortality,mortality,"The primary endpoint was death from any cause occurring
between 1 year after the time of enrollment and December
31, 2006. Deaths were identified through biennial
automated linkage of the entire cohort with the National
Death Index",,Questionnaire,MET-hr/wk,"we combined recreational and daily life activity
into total leisure-time physical activity at baseline, because
the relation between regular physical activity and all-cause
mortality has been well documented. Total leisure-time
activity was categorized in MET-hours/week as <17.5,
17.5–<24.5, 24.5–<31.5, 31.5–<42.0, 42.0–<52.5,
52.5–<63.0, or  63.0. The lowest cutpoint corresponds
with approximately the 10th percentile of activity level in
our population, and each subsequent category increases by
the metabolic equivalent of approximately 3 hours of lightintensity
daily life activities per week",None,7923,rr,"Adjusted for age, race, smoking status, body mass Index, marital status, education, alcohol consumption, total caloric intake, comorbidity score, dietary intake (fruit, vegetable, fat, red meat occupational status), smoking duration, frequency & years since quitting",,,<17.5,699,63751.0,4805,0.98,0.89,1.07,,,,,,,,,,,,,16.02,Used midpoint of paper reported volume. Marginalised by ratio weighting of (3.5/4.5) METs,16.02,,,,,,17.5-<24.5 MET-hr/wk,21.00,,16.33,,,,,,,,,,,,,,,,,,,,,3.50,0.00,0.00,,16.33,11.67,,,,,,,,,,,,,,,,,,,,,
35,P,,,CPS II Nutrition Cohort,Patel et al.,2010,US,Prospective cohort,"Men and women in this analysis were drawn from the
184,190 participants in the CPS-II Nutrition Cohort (hereafter
referred to as the ‘‘Nutrition Cohort’’)","We excluded sequentially from this analysis men and
women who reported a personal history of cancer (n =
21,785), heart attack (n = 11,560), stroke (n = 2,513), or
emphysema/other lung disease (n = 9,321) at the time of
enrollment. We also excluded individuals with missing data
on physical activity (n = 4,240), missing sitting time (n =
2,954), missing or extreme (top and bottom 0.1%) values of
body mass index (n = 2,121), or missing smoking status (n =
1,347) at baseline. Finally, to reduce the possibility of undiagnosed
serious illness at baseline that would preclude or
interfere with physical activity, we excluded individuals who
reported both no daily life activities and no light housekeeping
(n = 4,730), as well as those who died from any cause
within the first year of follow-up (n = 403).",69776 ,0,0,2,,,,,LTPA,13.1,,925686,all-cause mortality,mortality,"The primary endpoint was death from any cause occurring
between 1 year after the time of enrollment and December
31, 2006. Deaths were identified through biennial
automated linkage of the entire cohort with the National
Death Index",,Questionnaire,MET-hr/wk,"we combined recreational and daily life activity
into total leisure-time physical activity at baseline, because
the relation between regular physical activity and all-cause
mortality has been well documented. Total leisure-time
activity was categorized in MET-hours/week as <17.5,
17.5–<24.5, 24.5–<31.5, 31.5–<42.0, 42.0–<52.5,
52.5–<63.0, or  63.0. The lowest cutpoint corresponds
with approximately the 10th percentile of activity level in
our population, and each subsequent category increases by
the metabolic equivalent of approximately 3 hours of lightintensity
daily life activities per week",None,7923,rr,"Adjusted for age, race, smoking status, body mass Index, marital status, education, alcohol consumption, total caloric intake, comorbidity score, dietary intake (fruit, vegetable, fat, red meat occupational status), smoking duration, frequency & years since quitting",,,17.5-<24.5 ,1382,159718.0,12039,0.82,0.75,0.88,,,,,,,,,,,,,21.58,Used midpoint of paper reported volume. Marginalised by ratio weighting of (3.5/4.5) METs,21.58,,,,,,24.5-<31.5 MET-hr/wk,28.00,,21.78,,,,,,,,,,,,,,,,,,,,,3.50,0.00,0.00,,21.78,15.56,,,,,,,,,,,,,,,,,,,,,
35,P,,,CPS II Nutrition Cohort,Patel et al.,2010,US,Prospective cohort,"Men and women in this analysis were drawn from the
184,190 participants in the CPS-II Nutrition Cohort (hereafter
referred to as the ‘‘Nutrition Cohort’’)","We excluded sequentially from this analysis men and
women who reported a personal history of cancer (n =
21,785), heart attack (n = 11,560), stroke (n = 2,513), or
emphysema/other lung disease (n = 9,321) at the time of
enrollment. We also excluded individuals with missing data
on physical activity (n = 4,240), missing sitting time (n =
2,954), missing or extreme (top and bottom 0.1%) values of
body mass index (n = 2,121), or missing smoking status (n =
1,347) at baseline. Finally, to reduce the possibility of undiagnosed
serious illness at baseline that would preclude or
interfere with physical activity, we excluded individuals who
reported both no daily life activities and no light housekeeping
(n = 4,730), as well as those who died from any cause
within the first year of follow-up (n = 403).",69776 ,0,0,2,,,,,LTPA,13.1,,925686,all-cause mortality,mortality,"The primary endpoint was death from any cause occurring
between 1 year after the time of enrollment and December
31, 2006. Deaths were identified through biennial
automated linkage of the entire cohort with the National
Death Index",,Questionnaire,MET-hr/wk,"we combined recreational and daily life activity
into total leisure-time physical activity at baseline, because
the relation between regular physical activity and all-cause
mortality has been well documented. Total leisure-time
activity was categorized in MET-hours/week as <17.5,
17.5–<24.5, 24.5–<31.5, 31.5–<42.0, 42.0–<52.5,
52.5–<63.0, or  63.0. The lowest cutpoint corresponds
with approximately the 10th percentile of activity level in
our population, and each subsequent category increases by
the metabolic equivalent of approximately 3 hours of lightintensity
daily life activities per week",None,7923,rr,"Adjusted for age, race, smoking status, body mass Index, marital status, education, alcohol consumption, total caloric intake, comorbidity score, dietary intake (fruit, vegetable, fat, red meat occupational status), smoking duration, frequency & years since quitting",,,24.5-<31.5,1588,195423.0,14731,0.78,0.73,0.85,,,,,,,,,,,,,28.68,Used midpoint of paper reported volume. Marginalised by ratio weighting of (3.5/4.5) METs,28.68,,,,,,31.5-<42.0 MET-hr/wk,35.75,,27.81,,,,,,,,,,,,,,,,,,,,,3.50,0.00,0.00,,27.81,19.86,,,,,,,,,,,,,,,,,,,,,
35,P,,,CPS II Nutrition Cohort,Patel et al.,2010,US,Prospective cohort,"Men and women in this analysis were drawn from the
184,190 participants in the CPS-II Nutrition Cohort (hereafter
referred to as the ‘‘Nutrition Cohort’’)","We excluded sequentially from this analysis men and
women who reported a personal history of cancer (n =
21,785), heart attack (n = 11,560), stroke (n = 2,513), or
emphysema/other lung disease (n = 9,321) at the time of
enrollment. We also excluded individuals with missing data
on physical activity (n = 4,240), missing sitting time (n =
2,954), missing or extreme (top and bottom 0.1%) values of
body mass index (n = 2,121), or missing smoking status (n =
1,347) at baseline. Finally, to reduce the possibility of undiagnosed
serious illness at baseline that would preclude or
interfere with physical activity, we excluded individuals who
reported both no daily life activities and no light housekeeping
(n = 4,730), as well as those who died from any cause
within the first year of follow-up (n = 403).",69776 ,0,0,2,,,,,LTPA,13.1,,925686,all-cause mortality,mortality,"The primary endpoint was death from any cause occurring
between 1 year after the time of enrollment and December
31, 2006. Deaths were identified through biennial
automated linkage of the entire cohort with the National
Death Index",,Questionnaire,MET-hr/wk,"we combined recreational and daily life activity
into total leisure-time physical activity at baseline, because
the relation between regular physical activity and all-cause
mortality has been well documented. Total leisure-time
activity was categorized in MET-hours/week as <17.5,
17.5–<24.5, 24.5–<31.5, 31.5–<42.0, 42.0–<52.5,
52.5–<63.0, or  63.0. The lowest cutpoint corresponds
with approximately the 10th percentile of activity level in
our population, and each subsequent category increases by
the metabolic equivalent of approximately 3 hours of lightintensity
daily life activities per week",None,7923,rr,"Adjusted for age, race, smoking status, body mass Index, marital status, education, alcohol consumption, total caloric intake, comorbidity score, dietary intake (fruit, vegetable, fat, red meat occupational status), smoking duration, frequency & years since quitting",,,31.5-<42.0,1255,157978.0,11908,0.76,0.7,0.83,,,,,,,,,,,,,37.42,Used midpoint of paper reported volume. Marginalised by ratio weighting of (3.5/4.5) METs,37.42,,,,,,42.0-<52.5 MET-hr/wk,47.25,,36.75,,,,,,,,,,,,,,,,,,,,,3.50,0.00,0.00,,36.75,26.25,,,,,,,,,,,,,,,,,,,,,
35,P,,,CPS II Nutrition Cohort,Patel et al.,2010,US,Prospective cohort,"Men and women in this analysis were drawn from the
184,190 participants in the CPS-II Nutrition Cohort (hereafter
referred to as the ‘‘Nutrition Cohort’’)","We excluded sequentially from this analysis men and
women who reported a personal history of cancer (n =
21,785), heart attack (n = 11,560), stroke (n = 2,513), or
emphysema/other lung disease (n = 9,321) at the time of
enrollment. We also excluded individuals with missing data
on physical activity (n = 4,240), missing sitting time (n =
2,954), missing or extreme (top and bottom 0.1%) values of
body mass index (n = 2,121), or missing smoking status (n =
1,347) at baseline. Finally, to reduce the possibility of undiagnosed
serious illness at baseline that would preclude or
interfere with physical activity, we excluded individuals who
reported both no daily life activities and no light housekeeping
(n = 4,730), as well as those who died from any cause
within the first year of follow-up (n = 403).",69776 ,0,0,2,,,,,LTPA,13.1,,925686,all-cause mortality,mortality,"The primary endpoint was death from any cause occurring
between 1 year after the time of enrollment and December
31, 2006. Deaths were identified through biennial
automated linkage of the entire cohort with the National
Death Index",,Questionnaire,MET-hr/wk,"we combined recreational and daily life activity
into total leisure-time physical activity at baseline, because
the relation between regular physical activity and all-cause
mortality has been well documented. Total leisure-time
activity was categorized in MET-hours/week as <17.5,
17.5–<24.5, 24.5–<31.5, 31.5–<42.0, 42.0–<52.5,
52.5–<63.0, or  63.0. The lowest cutpoint corresponds
with approximately the 10th percentile of activity level in
our population, and each subsequent category increases by
the metabolic equivalent of approximately 3 hours of lightintensity
daily life activities per week",None,7923,rr,"Adjusted for age, race, smoking status, body mass Index, marital status, education, alcohol consumption, total caloric intake, comorbidity score, dietary intake (fruit, vegetable, fat, red meat occupational status), smoking duration, frequency & years since quitting",,,42.0-<52.5,772,99477.0,7498,0.76,0.69,0.83,,,,,,,,,,,,,46.40,Used midpoint of paper reported volume. Marginalised by ratio weighting of (3.5/4.5) METs,46.40,,,,,,52.5-<63.0 MET-hr/wk,57.75,,44.92,,,,,,,,,,,,,,,,,,,,,3.50,0.00,0.00,,44.92,32.08,,,,,,,,,,,,,,,,,,,,,
35,P,,,CPS II Nutrition Cohort,Patel et al.,2010,US,Prospective cohort,"Men and women in this analysis were drawn from the
184,190 participants in the CPS-II Nutrition Cohort (hereafter
referred to as the ‘‘Nutrition Cohort’’)","We excluded sequentially from this analysis men and
women who reported a personal history of cancer (n =
21,785), heart attack (n = 11,560), stroke (n = 2,513), or
emphysema/other lung disease (n = 9,321) at the time of
enrollment. We also excluded individuals with missing data
on physical activity (n = 4,240), missing sitting time (n =
2,954), missing or extreme (top and bottom 0.1%) values of
body mass index (n = 2,121), or missing smoking status (n =
1,347) at baseline. Finally, to reduce the possibility of undiagnosed
serious illness at baseline that would preclude or
interfere with physical activity, we excluded individuals who
reported both no daily life activities and no light housekeeping
(n = 4,730), as well as those who died from any cause
within the first year of follow-up (n = 403).",69776 ,0,0,2,,,,,LTPA,13.1,,925686,all-cause mortality,mortality,"The primary endpoint was death from any cause occurring
between 1 year after the time of enrollment and December
31, 2006. Deaths were identified through biennial
automated linkage of the entire cohort with the National
Death Index",,Questionnaire,MET-hr/wk,"we combined recreational and daily life activity
into total leisure-time physical activity at baseline, because
the relation between regular physical activity and all-cause
mortality has been well documented. Total leisure-time
activity was categorized in MET-hours/week as <17.5,
17.5–<24.5, 24.5–<31.5, 31.5–<42.0, 42.0–<52.5,
52.5–<63.0, or  63.0. The lowest cutpoint corresponds
with approximately the 10th percentile of activity level in
our population, and each subsequent category increases by
the metabolic equivalent of approximately 3 hours of lightintensity
daily life activities per week",None,7923,rr,"Adjusted for age, race, smoking status, body mass Index, marital status, education, alcohol consumption, total caloric intake, comorbidity score, dietary intake (fruit, vegetable, fat, red meat occupational status), smoking duration, frequency & years since quitting",,,52.5-<63.0,1070,141921.0,10698,0.74,0.68,0.81,,,,,,,,,,,,,55.63,Used midpoint of paper reported volume. Marginalised by ratio weighting of (3.5/4.5) METs,55.63,,,,,,?63.0 MET-hr/wk,68.25,,53.08,,,,,,,,,,,,,,,,,,,,,3.50,0.00,0.00,,53.08,37.92,,,,,,,,,,,,,,,,,,,,,
36,P,20543701,https://www.ncbi.nlm.nih.gov/pubmed/20543701,Dutch Monitoring Project on Risk Factors for Chronic Diseases (MORGEN) Study,Hoevenaar-Blom et al.,2011,Netherlands,Prospective cohort study,municipal population registers,"Random sex—age stratified samples were drawn from municipal population regis-
ters in three towns in The Netherlands (Doetinchem, Maastricht, and Amsterdam)",23000 ,1,0.45,3,41.9,11.2,,,LTPA,9.8,,157672.0,CVD,incidence,"Fatal (primary or secondary cause of death) and nonfatal CVD were defined according to ICD-9, codes 410–414, 415.1, 427.5, 428, 430–438, 440–444, 798.1, 798.2 and 798.9 and corresponding ICD-10 codes for the fatal cases after 1996",,questionnaire,category ,"Cycling, and sports were classified as‘yes’ or‘no",,923,hr,"age, sex, other physical activities (both
occupational and leisure) than the one under study, current smoking (yes, no), alcohol consumption (never/former, moderate, or high) and educational
level (low, medium, or high)",,,Cycling and sports were classified as‘yes’ or‘no,288,39418.0,5750,1,,,,,,,,,only adjusted model was presented,,,,0.00,0.00,0.00,unclear ,0.00,,SEPA,,"Sports 0 h/wk [0] + Cycle 0 h/wk [0]
",,,"0
",,0.00,,Justin,"Multiple activity intensities combined but duration reported - ""we investigated walking (Ainsworth code:17250,143.5  METs),  gardening  (Ainsworth  code:08245,144.0 METs), cycling (Ainsworth code: 02010,147.0 METs), and sports (4.0 METs) as specific types ofleisure time physical activity possibly related to CVD.Time spent on occupational physical activities (con-tinuous) of at least moderate intensity was included asconfounder. Gardening, cycling, and sports were classi-fied as ‘yes’ or ‘no’. As 97% of all participants reported atleast some walking, participants who reported less than3.5 h/week (30 min per day) were used as the referencecategory for walking. To study dose-response relation-ships, we divided cycling and sports into three categories(0,>0–3.5, and3.5 h/week""",,,,0.00,0.00,0.00,,0.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,P,,,Dutch Monitoring Project on Risk Factors for Chronic Diseases (MORGEN) Study,Hoevenaar-Blom et al.,2011,Netherlands,Prospective cohort study,municipal population registers,"Random sex—age stratified samples were drawn from municipal population regis-
ters in three towns in The Netherlands (Doetinchem, Maastricht, and Amsterdam)",23000 ,1,0.45,3,41.9,11.2,,,LTPA,9.8,,157672.0,CVD,incidence,"Fatal (primary or secondary cause of death) and nonfatal CVD were defined according to ICD-9, codes 410–414, 415.1, 427.5, 428, 430–438, 440–444, 798.1, 798.2 and 798.9 and corresponding ICD-10 codes for the fatal cases after 1996",,questionnaire,category ,"Cycling, and sports were classified as‘yes’ or‘no",,923,hr,"age, sex, other physical activities (both
occupational and leisure) than the one under study, current smoking (yes, no), alcohol consumption (never/former, moderate, or high) and educational
level (low, medium, or high)",,,no cycling no sports,239,39418.0,5750,0.83,0.7,0.97,,,,,,,only adjusted model was presented,,,,3.13,7.00,18.75,unclear ,18.75,,,,Sports 0 h/wk [0] + Cycle  1-5.25 h/wk [midpoint 3.125],"CYCLE = 7.0 MET
",,21.88,,18.75,,,,,,,3.13,7.00,21.88,,18.75,,18.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,P,,,Dutch Monitoring Project on Risk Factors for Chronic Diseases (MORGEN) Study,Hoevenaar-Blom et al.,2011,Netherlands,Prospective cohort study,municipal population registers,"Random sex—age stratified samples were drawn from municipal population regis-
ters in three towns in The Netherlands (Doetinchem, Maastricht, and Amsterdam)",23000 ,1,0.45,3,41.9,11.2,,,LTPA,9.8,,157672.0,CVD,incidence,"Fatal (primary or secondary cause of death) and nonfatal CVD were defined according to ICD-9, codes 410–414, 415.1, 427.5, 428, 430–438, 440–444, 798.1, 798.2 and 798.9 and corresponding ICD-10 codes for the fatal cases after 1996",,questionnaire,category ,"Cycling, and sports were classified as‘yes’ or‘no",,923,hr,"age, sex, other physical activities (both
occupational and leisure) than the one under study, current smoking (yes, no), alcohol consumption (never/former, moderate, or high) and educational
level (low, medium, or high)",,,cycling no sports,211,39418.0,5750,0.73,0.53,0.99,,,,,,,only adjusted model was presented,,,,3.13,6.00,15.63,unclear ,15.63,,,,Sports  3.125 h/wk + Cycle  0 h/wk [0]  ,SPORTS ?4.0 MET [midpoint 6.0 MET],,18.75,,15.63,,,,,,,3.13,6.00,18.75,,15.63,,15.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
